time,x,y,z
22,0.27312,-0.48599,0.02835
70,-0.04817,0.11263,0.12120
119,0.09108,0.11873,0.13097
170,0.10452,0.04544,0.04301
220,0.04100,0.01855,0.08943
270,0.10574,-0.07184,0.11264
320,-0.05917,-0.00952,0.00514
370,-0.07138,-0.10605,-0.04617
420,-0.12759,0.08942,0.02957
470,-0.16547,-0.03885,0.00514
520,-0.02376,0.07109,0.04912
570,0.16315,-0.05595,0.04178
620,0.05077,0.14684,0.10532
670,0.05321,0.03810,0.00270
721,-0.00053,-0.25877,-0.12556
770,0.22180,-0.11337,-0.11092
820,-0.11415,-0.15735,-0.02541
870,0.19003,-0.05962,-0.08403
920,-0.10927,0.03200,-0.17200
969,-0.19112,-0.08162,-0.16345
1023,-0.12025,-0.19279,-0.12436
1069,0.17538,-0.17203,-0.17322
1120,-0.10683,0.05765,0.00514
1170,0.04344,0.33253,0.14076
1221,0.03000,0.30322,0.09920
1269,0.03610,-0.08650,0.02225
1319,-0.13614,0.02100,0.05156
1370,-0.05917,-0.26610,0.07355
1420,-0.03108,0.07475,0.13953
1470,0.25969,-0.21844,0.14320
1520,-0.03229,-0.06818,0.13220
1570,-0.30351,-0.14880,0.13220
1619,-0.04697,0.05032,0.12488
1669,0.25725,-0.05107,0.02835
1719,0.02023,0.17615,-0.07184
1769,0.09964,-0.01932,-0.21721
1820,-0.18135,0.97882,0.10043
1870,0.12161,0.25801,0.07111
1920,0.19371,-0.51532,-0.00708
1970,0.12285,-0.64362,0.21405
2020,-0.01154,-0.52632,0.16518
2073,0.10696,-0.51044,-0.08159
2120,-0.05185,0.44249,-0.01686
2170,-0.14226,0.11995,0.00880
2220,-0.00545,0.10284,-0.00952
2270,-0.11293,-0.16103,-0.03639
2321,-0.20212,0.14438,0.06989
2370,0.03000,-0.20624,-0.53606
2419,-0.23877,0.43028,-0.07672
2471,-0.26566,0.65262,0.02225
2520,-0.77390,0.16515,-0.16222
2570,-0.57230,0.68683,-0.15001
2620,0.40628,-0.32108,-0.41267
2670,0.36353,0.51335,0.33133
2720,0.48570,-0.81099,-0.04373
2770,-0.30719,-0.36383,-0.04007
2820,0.15462,0.00267,0.00391
2870,-0.07628,0.06253,0.07599
2920,-0.07138,-0.45914,0.02957
2970,0.11797,0.38995,0.03201
3020,-0.10683,0.23601,0.12608
3073,0.00435,0.26045,0.04912
3119,-0.23389,-0.52144,0.20917
3170,-0.60040,-0.25142,0.05890
3220,-0.45622,-0.57518,-0.14757
3269,-0.69812,-0.20868,-0.03763
3319,0.85344,-0.34306,-0.11092
3370,1.32257,0.92752,-0.16711
3420,1.66345,-0.02785,-0.25995
3469,1.50339,1.35634,0.02347
3519,2.80208,0.25313,-0.51773
3569,2.30728,1.11200,-0.06206
3621,1.71964,0.46570,0.01369
3670,1.99574,0.27022,-0.36258
3719,0.95485,-0.06450,-0.26483
3769,-0.68835,0.29588,-0.14513
3820,-1.01456,-0.01196,-0.06696
3869,-1.04877,-0.37360,-0.49452
3919,-1.49226,-1.14206,-0.60571
3969,-2.45132,-0.84396,-0.21475
4019,-1.44093,-0.70103,-0.12680
4075,-2.53561,-1.85434,0.16518
4120,-1.96506,-1.46826,1.11812
4169,-3.13669,-2.09746,-0.33571
4219,0.37451,0.60254,0.42908
4269,-0.08850,0.12485,0.45717
4319,1.02203,1.23416,0.43764
4369,0.06421,0.56345,0.07843
4420,0.55289,0.58665,0.10899
4470,0.56633,0.08820,0.16029
4520,0.52357,0.11263,0.20917
4570,0.08864,0.01123,-0.02663
4620,0.27434,0.31055,0.18106
4670,0.09352,0.02956,0.09431
4720,-0.19235,0.75525,0.11020
4770,-0.15080,0.18839,-0.02785
4819,0.34642,-0.26242,-0.22575
4869,0.26823,-0.29907,0.29347
4919,-0.08362,0.01732,0.05156
4970,0.66162,-0.23553,-0.21965
5020,0.23769,-0.54343,-0.00952
5069,-0.86185,0.53780,-0.26851
5125,-0.59673,0.56345,-0.24774
5170,0.32199,-0.30641,-0.29904
5220,0.44537,-0.49089,-0.17444
5270,-0.22044,0.11140,0.06378
5320,-0.06529,0.34964,0.01369
5370,-0.32674,0.40096,0.35577
5420,-0.24365,-0.12315,0.05400
5470,-0.16669,0.11873,0.28735
