time,distance
22,5.00031
70,5.00031
119,5.00031
170,5.00031
220,5.00031
270,5.00031
320,5.00031
370,5.00031
420,5.00031
470,5.00031
520,5.00031
570,5.00031
620,5.00031
670,5.00031
721,5.00031
770,5.00031
820,5.00031
870,5.00031
920,5.00031
969,5.00031
1023,5.00031
1069,5.00031
1120,5.00031
1170,5.00031
1221,5.00031
1270,5.00031
1319,5.00031
1370,5.00031
1420,5.00031
1470,5.00031
1520,5.00031
1570,5.00031
1620,5.00031
1669,5.00031
1719,5.00031
1769,5.00031
1820,5.00031
1870,5.00031
1920,5.00031
1970,5.00031
2020,5.00031
2073,5.00031
2120,5.00031
2170,5.00031
2220,5.00031
2270,5.00031
2321,5.00031
2370,5.00031
2419,5.00031
2471,5.00031
2520,5.00031
2570,5.00031
2620,5.00031
2670,5.00031
2720,5.00031
2770,5.00031
2820,5.00031
2870,5.00031
2920,5.00031
2970,5.00031
3020,5.00031
3073,5.00031
3119,5.00031
3170,5.00031
3220,5.00031
3269,5.00031
3319,5.00031
3370,5.00031
3420,5.00031
3469,5.00031
3519,5.00031
3569,5.00031
3621,5.00031
3670,5.00031
3720,5.00031
3769,5.00031
3820,5.00031
3869,5.00031
3919,5.00031
3969,5.00031
4019,5.00031
4075,5.00031
4120,5.00031
4170,5.00031
4220,5.00031
4270,5.00031
4319,5.00031
4369,5.00031
4420,5.00031
4470,5.00031
4520,5.00031
4570,5.00031
4620,5.00031
4670,5.00031
4720,5.00031
4770,5.00031
4820,5.00031
4869,5.00031
4919,5.00031
4970,5.00031
5020,5.00031
5069,5.00031
5125,5.00031
5170,5.00031
5220,5.00031
5270,5.00031
5320,5.00031
5370,5.00031
5420,5.00031
5470,5.00031
