time,x,y,z
22,-15.84778,-19.60449,-32.24640
70,-16.44745,-19.25354,-31.04553
119,-16.44745,-18.04352,-30.14526
170,-15.54718,-19.60449,-29.24652
220,-16.14838,-18.90411,-29.84619
270,-16.44745,-19.42444,-31.34613
319,-16.14838,-19.77386,-29.54559
370,-16.14838,-18.21442,-29.84619
420,-15.84778,-18.90411,-31.04553
470,-15.84778,-19.25354,-30.44586
520,-15.84778,-19.42444,-31.34613
570,-16.14838,-18.90411,-30.44586
620,-15.84778,-19.08417,-29.54559
670,-16.74805,-19.42444,-31.34613
720,-16.74805,-18.73322,-30.14526
770,-15.84778,-19.42444,-28.94592
820,-16.14838,-19.25354,-28.64532
870,-15.84778,-19.25354,-29.24652
920,-16.44745,-18.21442,-28.04565
969,-16.44745,-18.56384,-29.84619
1023,-15.24811,-19.25354,-29.84619
1069,-15.54718,-18.73322,-30.14526
1120,-15.24811,-20.46356,-30.14526
1170,-14.94751,-19.77386,-28.34625
1220,-15.54718,-19.77386,-28.94592
1269,-14.94751,-18.73322,-30.14526
1319,-15.24811,-19.25354,-29.84619
1370,-15.24811,-19.42444,-28.94592
1420,-15.24811,-18.90411,-29.24652
1470,-16.74805,-18.73322,-29.54559
1520,-15.84778,-19.08417,-29.54559
1570,-17.04712,-18.04352,-28.94592
1619,-17.34772,-18.73322,-28.34625
1669,-16.74805,-19.25354,-29.24652
1719,-17.64832,-17.34314,-27.74658
1769,-17.34772,-18.21442,-28.04565
1820,-16.14838,-19.25354,-28.64532
1870,-16.14838,-17.86346,-28.04565
1920,-16.74805,-18.56384,-29.24652
1970,-16.14838,-17.69409,-27.14539
2020,-17.04712,-18.04352,-27.14539
2073,-17.04712,-17.52319,-26.84631
2120,-17.34772,-17.86346,-26.24664
2170,-15.84778,-18.73322,-26.54572
2220,-17.94739,-17.86346,-26.84631
2270,-16.74805,-17.17377,-26.84631
2320,-16.74805,-18.04352,-26.54572
2370,-16.74805,-18.04352,-25.94604
2419,-14.94751,-19.25354,-28.04565
2470,-15.84778,-18.38379,-28.94592
2520,-14.94751,-18.38379,-27.74658
2570,-14.64691,-17.86346,-30.44586
2620,-14.04724,-17.52319,-31.64673
2670,-14.04724,-18.73322,-30.14526
2720,-14.34784,-18.56384,-29.24652
2770,-14.34784,-18.56384,-28.04565
2820,-14.34784,-19.08417,-28.94592
2870,-14.04724,-18.90411,-28.04565
2920,-13.44757,-18.56384,-28.64532
2970,-14.04724,-18.21442,-28.04565
3020,-14.34784,-19.42444,-29.54559
3073,-14.64691,-19.60449,-29.24652
3119,-14.94751,-18.21442,-30.44586
3170,-14.94751,-18.38379,-28.94592
3220,-15.24811,-18.56384,-30.44586
3269,-14.94751,-17.69409,-30.74646
3319,-16.14838,-18.04352,-27.74658
3369,-15.54718,-18.04352,-27.74658
3420,-15.24811,-18.21442,-24.44611
3469,-15.24811,-18.73322,-22.34650
3519,-14.34784,-19.25354,-21.44623
3569,-13.74817,-17.86346,-16.04614
3620,-14.04724,-17.52319,-14.24561
3670,-14.64691,-16.82434,-13.04626
3719,-13.44757,-15.79437,-9.44672
3769,-13.14697,-16.30402,-9.14612
3820,-13.14697,-16.30402,-12.14600
3869,-11.94763,-16.82434,-11.84540
3919,-11.04736,-18.21442,-13.04626
3969,-8.94775,-18.90411,-16.64581
4019,-7.74841,-20.46356,-18.14575
4075,-8.34808,-20.29419,-22.04590
4120,-7.74841,-20.46356,-23.54584
4169,-9.54742,-20.63446,-28.64532
4219,-10.74829,-19.08417,-28.34625
4269,-10.14709,-19.42444,-29.54559
4319,-11.34796,-19.25354,-28.64532
4369,-11.04736,-19.77386,-28.34625
4420,-11.64703,-19.25354,-26.84631
4470,-11.64703,-18.73322,-27.74658
4520,-12.24823,-18.38379,-25.94604
4570,-11.94763,-18.38379,-25.94604
4620,-12.24823,-18.21442,-26.84631
4670,-11.94763,-18.04352,-24.14551
4720,-12.24823,-17.52319,-24.44611
4770,-12.84790,-16.82434,-26.84631
4819,-11.04736,-18.21442,-25.64545
4869,-11.94763,-16.65344,-24.14551
4919,-11.64703,-16.48407,-22.64557
4970,-11.94763,-16.48407,-22.64557
5019,-11.64703,-15.61432,-22.34650
5069,-11.64703,-15.79437,-22.04590
5125,-10.44769,-15.44342,-23.84644
5170,-10.44769,-14.92462,-25.34637
5220,-10.44769,-14.92462,-24.74670
5269,-10.44769,-15.44342,-24.44611
5320,-11.04736,-14.92462,-24.14551
5370,-10.44769,-14.40430,-25.64545
5420,-11.04736,-13.19427,-25.94604
5470,-11.64703,-13.36365,-26.84631
