time,x,y,z
21,-0.18666,0.48167,9.28542
70,-0.41878,0.64198,10.03198
119,-0.63412,0.62762,10.15402
170,-0.51927,0.78795,9.87166
220,-0.75854,1.12534,9.86209
269,-0.67960,1.17319,9.69699
319,-0.77530,1.18755,9.35481
369,-0.76813,1.17558,9.80466
420,-0.58388,1.06790,9.58214
470,-0.59824,1.17798,9.85730
520,-0.78009,0.99852,10.61823
570,-0.43552,1.33112,9.43617
620,-0.34938,1.44119,10.12531
670,-0.46184,1.43163,9.05811
720,-0.96434,1.24976,10.49858
769,-0.53603,1.48425,9.26389
820,-0.77530,1.25934,10.16599
869,-0.24409,1.13490,10.39090
920,-0.27042,0.67310,9.66827
969,-0.43552,0.49841,10.75461
1023,-0.41399,0.34288,10.35023
1069,-0.15077,0.34288,10.04634
1120,-0.12924,0.29982,9.09399
1170,-0.28717,0.09642,10.44354
1220,-0.36374,0.17299,9.52710
1269,-0.24409,0.45773,9.23039
1319,-0.03113,0.59413,9.57018
1370,0.23926,0.72813,9.65631
1420,0.10046,0.63242,9.96977
1470,0.18661,1.08466,9.50078
1520,0.11482,0.81187,9.06290
1570,0.19618,0.78078,9.96259
1619,0.44504,0.79034,11.26189
1669,0.60057,0.86691,10.12051
1719,0.76329,0.89323,11.05850
1769,0.12201,1.07748,9.84056
1820,-0.84947,0.59413,11.20207
1870,-0.83751,0.17059,10.39330
1920,-0.92606,1.14687,9.10118
1970,-1.66544,0.68027,9.45770
2020,-0.54080,0.97697,9.23996
2073,-0.77290,0.96980,8.73268
2120,-0.28477,1.41248,8.70396
2170,-0.70352,1.62544,9.40028
2220,-0.26802,1.69482,9.06767
2270,-0.91170,2.09921,9.57256
2320,0.44983,2.42464,9.48642
2370,-0.27759,2.28346,10.94125
2419,-1.45007,1.63022,10.81204
2470,-0.51208,1.10141,10.64455
2520,-1.18208,-0.36539,11.25711
2570,-0.61499,0.38596,13.15462
2620,-1.61757,-0.16440,8.38573
2670,0.85422,-0.71474,11.73088
2719,-0.34938,-0.02322,7.51234
2769,-0.78009,-0.38454,9.55820
2820,0.49289,0.01506,8.67287
2870,0.13158,0.20171,9.08443
2919,0.59100,0.63481,9.03896
2969,0.42828,0.45296,10.14206
3020,0.42351,1.10620,10.74983
3073,-1.00023,0.18974,11.88403
3119,-0.50731,0.74248,10.87904
3170,-1.20601,0.26871,11.37675
3220,-1.96693,0.30699,10.71155
3269,-0.11009,-1.39670,16.38493
3319,0.60057,-2.01166,17.88762
3369,-0.17232,-1.44217,15.65512
3420,-0.22017,-1.42542,13.43697
3469,0.37804,-0.41803,13.09480
3519,-1.53143,-1.13109,10.75223
3569,-0.01439,1.75226,0.36258
3620,-1.11269,1.73073,6.01683
3669,-0.01917,3.12813,0.55162
3719,-1.46683,4.79593,-0.16623
3769,-1.50272,5.57120,1.06607
3820,-1.08876,4.27190,5.13866
3869,1.14613,3.85555,1.98732
3919,-2.65607,1.96283,3.91353
3969,0.28232,0.77119,2.75302
4019,-3.51747,0.49841,5.15541
4075,1.09828,-1.05214,3.17175
4120,3.18004,-4.65572,7.94783
4169,1.50984,-7.99849,27.42302
4219,4.88612,-2.46629,19.75880
4269,1.90466,-1.03539,17.81105
4319,3.62988,0.13231,12.30276
4369,1.00496,-0.93489,12.29080
4420,0.43547,-2.17676,10.44116
4470,-0.69633,-1.42062,8.52690
4520,-0.45706,-1.31056,8.60587
4570,-0.55756,-0.72672,8.00766
4620,-0.65805,-1.18373,10.30716
4670,-0.84230,0.39313,8.11055
4720,-0.70830,0.18018,9.44334
4770,0.33736,0.51996,10.16599
4819,-1.93822,0.31178,9.14903
4869,-1.60083,0.61566,9.83817
4919,0.52640,0.28546,11.43417
4970,-1.20122,0.44817,11.45332
5019,-1.33762,0.09882,8.89061
5069,1.47156,-0.84874,10.06787
5124,-2.06503,-0.80566,11.16139
5170,-0.53123,-0.59988,10.42680
5219,-0.43074,-0.52092,8.08662
5269,0.35172,-0.28642,8.95042
5319,-0.54799,0.19214,8.63219
5370,-0.08617,-0.06868,8.98631
5420,-0.31349,-0.32950,10.50337
5470,-0.64848,-0.25293,9.94823
