time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
22,99,4268,32.5,-9223372036854775808,243986,0
1023,99,4268,32.5,-9223372036854775808,243986,0
2073,99,4268,32.5,-9223372036854775808,317228,0
3073,99,4268,32.5,-9223372036854775808,317228,0
4075,99,4268,32.5,-9223372036854775808,317228,0
5125,99,4268,32.5,-9223372036854775808,320585,0
