time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
517,99,4268,32.5,-9223372036854775808,337369,0
1517,99,4268,32.5,-9223372036854775808,337369,0
2516,99,4268,32.5,-9223372036854775808,329740,0
3516,99,4268,32.5,-9223372036854775808,329740,0
4515,99,4268,32.5,-9223372036854775808,329740,0
5515,99,4268,32.5,-9223372036854775808,295103,0
