time,x,y,z
13,-15.54718,-18.56384,-31.04553
62,-15.54718,-18.38379,-30.74646
112,-15.84778,-17.86346,-32.24640
163,-15.54718,-19.08417,-30.74646
213,-16.14838,-18.73322,-29.54559
263,-16.44745,-18.04352,-29.54559
313,-17.34772,-18.04352,-30.74646
363,-17.34772,-17.69409,-28.94592
412,-15.84778,-18.38379,-27.74658
463,-16.74805,-18.38379,-27.74658
516,-16.74805,-17.52319,-27.44598
562,-16.14838,-17.52319,-31.64673
613,-15.84778,-17.86346,-33.44574
663,-15.24811,-17.34314,-31.34613
713,-14.04724,-18.90411,-27.44598
763,-15.24811,-19.08417,-22.94617
813,-13.74817,-19.60449,-20.84656
863,-13.74817,-19.77386,-19.94629
913,-13.44757,-19.25354,-21.44623
963,-12.84790,-19.42444,-27.14539
1013,-14.04724,-17.52319,-29.84619
1063,-14.04724,-18.21442,-32.84607
1112,-14.94751,-18.38379,-30.14526
1162,-13.14697,-18.90411,-28.04565
1212,-14.34784,-19.08417,-21.74530
1262,-13.14697,-19.42444,-21.14563
1313,-13.44757,-19.08417,-21.14563
1363,-13.14697,-19.77386,-22.94617
1413,-12.84790,-19.77386,-25.94604
1463,-12.84790,-20.29419,-28.04565
1517,-13.74817,-18.90411,-29.84619
1563,-14.34784,-18.73322,-26.54572
1613,-14.34784,-18.38379,-22.34650
1663,-13.44757,-19.60449,-20.24536
1713,-13.74817,-19.42444,-19.94629
1763,-13.74817,-19.60449,-23.24524
1813,-12.24823,-20.12329,-25.94604
1863,-14.04724,-18.21442,-29.84619
1913,-12.84790,-18.38379,-31.34613
1963,-13.74817,-18.56384,-29.84619
2013,-13.74817,-18.56384,-27.44598
2063,-12.84790,-19.60449,-25.04578
2113,-13.14697,-19.08417,-22.34650
2163,-13.44757,-19.77386,-22.34650
2213,-13.44757,-19.08417,-23.54584
2263,-13.44757,-18.56384,-27.44598
2313,-14.64691,-17.86346,-29.84619
2363,-14.04724,-18.56384,-29.24652
2413,-15.24811,-17.52319,-25.04578
2463,-14.64691,-19.25354,-23.24524
2516,-14.04724,-17.69409,-23.54584
2562,-13.74817,-18.90411,-22.64557
2612,-14.34784,-18.73322,-24.14551
2663,-13.44757,-18.21442,-29.24652
2713,-13.14697,-19.77386,-28.34625
2763,-14.04724,-18.56384,-25.64545
2812,-13.74817,-19.42444,-24.14551
2862,-12.54730,-18.90411,-23.84644
2912,-13.44757,-18.73322,-23.54584
2962,-12.84790,-18.73322,-26.54572
3012,-13.14697,-18.56384,-27.44598
3062,-13.44757,-18.04352,-28.34625
3114,-13.14697,-18.04352,-25.94604
3163,-11.04736,-18.38379,-22.94617
3213,-11.64703,-18.56384,-21.44623
3263,-9.54742,-19.25354,-21.44623
3313,-10.14709,-18.56384,-22.04590
3362,-8.64716,-19.42444,-24.74670
3412,-9.84802,-17.52319,-26.84631
3462,-9.24835,-18.21442,-27.44598
3516,-10.14709,-18.38379,-26.54572
3562,-10.44769,-17.00439,-24.14551
3613,-11.64703,-15.79437,-22.04590
3663,-11.64703,-16.30402,-21.74530
3713,-11.94763,-14.92462,-24.74670
3763,-14.04724,-14.57367,-24.74670
3813,-13.14697,-14.57367,-24.14551
3863,-12.24823,-15.09399,-23.24524
3913,-13.14697,-14.92462,-21.14563
3962,-13.44757,-13.71460,-20.84656
4013,-13.44757,-13.36365,-23.24524
4063,-13.44757,-13.88397,-22.34650
4113,-12.84790,-13.53455,-25.34637
4163,-13.74817,-13.01422,-25.04578
4213,-13.74817,-12.67395,-24.44611
4263,-14.64691,-12.15363,-24.14551
4313,-12.84790,-13.01422,-24.44611
4363,-13.74817,-12.67395,-23.84644
4413,-14.04724,-12.67395,-25.64545
4463,-13.74817,-12.84332,-24.74670
4515,-14.04724,-11.80420,-25.94604
4562,-14.64691,-11.80420,-28.34625
4613,-15.84778,-10.76355,-27.74658
4662,-14.94751,-11.63330,-26.84631
4713,-14.94751,-11.28387,-25.04578
4763,-14.64691,-11.80420,-24.14551
4813,-16.44745,-11.97357,-25.04578
4863,-15.84778,-10.94360,-28.04565
4913,-16.74805,-10.76355,-27.74658
4963,-15.84778,-10.07385,-30.14526
5013,-18.24799,-10.24323,-29.24652
5063,-17.64832,-10.76355,-27.74658
5113,-17.64832,-11.46393,-27.14539
5163,-18.84766,-11.11450,-28.34625
5213,-18.84766,-10.94360,-30.44586
5263,-20.04700,-10.07385,-30.14526
5313,-19.74792,-9.55353,-31.04553
5362,-19.14825,-11.28387,-31.04553
5412,-18.54706,-12.84332,-30.14526
5462,-19.74792,-14.05334,-28.04565
5514,-19.14825,-14.40430,-25.64545
5563,-17.64832,-13.71460,-29.84619
5613,-17.94739,-13.71460,-31.04553
5663,-16.44745,-14.92462,-30.74646
5713,-16.14838,-15.09399,-28.04565
5763,-15.84778,-15.61432,-26.54572
5813,-15.24811,-15.96375,-25.34637
5863,-15.24811,-15.96375,-25.34637
5913,-15.24811,-14.75372,-26.24664
5963,-14.64691,-15.96375,-30.14526
6013,-14.64691,-15.09399,-29.84619
6063,-15.24811,-15.27405,-30.14526
6113,-14.64691,-15.61432,-31.34613
