time,x,y,z
12,-1.33762,0.86691,8.81882
62,-0.84230,0.48167,10.72112
112,-0.79205,0.99852,9.87645
163,-0.95955,1.20430,10.95082
213,-0.29434,1.12534,8.85233
263,-1.02895,1.45793,10.87186
313,-0.04309,1.31438,13.08522
363,-0.71069,1.65654,6.49779
412,-1.25386,2.83859,5.81105
463,0.12918,2.71896,4.82042
516,-1.05048,1.25215,6.17236
562,0.34694,-0.32471,19.34006
613,-0.84709,-2.60986,29.13628
663,-0.81598,-2.06430,17.93069
713,-0.20821,-0.54724,5.82539
763,0.51443,0.06532,-0.03223
813,-0.33263,0.71617,-3.20511
863,0.93079,0.49841,-3.95645
913,-0.49774,-0.60228,0.70715
963,1.61273,-2.77736,13.10677
1013,-0.55756,-1.18613,22.96280
1063,0.33736,0.68027,25.36758
1112,0.19379,-0.23378,15.46608
1162,0.06458,-0.05432,12.55641
1212,-0.13402,1.32394,2.21223
1262,-0.45467,1.45316,-0.20691
1313,-2.14639,0.06053,-0.14708
1363,-1.81857,-0.95882,9.02699
1412,0.90446,-1.37994,10.50815
1462,-0.94759,-1.61205,17.47366
1516,-0.58388,-0.67885,23.07765
1563,-1.06723,1.28566,12.01563
1613,-0.66524,2.59213,2.97556
1662,-1.39743,2.51317,-0.08009
1713,-1.30890,2.77878,-2.90601
1763,-1.73482,-0.69560,8.22301
1813,-0.83751,-1.66469,11.99889
1863,0.43307,-1.70297,22.87187
1913,-0.39006,-1.93269,24.67845
1963,0.43068,-0.69800,13.99211
2013,0.14833,-0.56400,8.63696
2063,-0.09573,-0.66449,2.95880
2113,-0.29913,-0.06628,0.92729
2163,-0.06464,0.18495,0.16876
2213,-0.04788,-0.88225,8.70876
2263,0.52400,-0.09979,14.73149
2313,-0.59824,0.40988,23.31215
2363,-0.26802,1.43880,17.22241
2413,-0.17232,1.19234,8.53886
2463,0.04784,0.41945,3.38712
2516,-1.46204,0.02942,2.93965
2562,-2.41199,-0.09261,1.20247
2612,-0.74181,-1.72929,12.18074
2663,-0.81598,-1.51395,19.34245
2713,-0.47142,0.40988,17.22002
2763,-1.26582,1.25934,7.00507
2812,-0.76334,1.19234,4.18871
2862,-1.12227,0.78555,1.76239
2912,-1.13423,0.45296,4.35620
2962,-1.23712,-0.83438,15.90158
3012,-0.60541,-0.19550,19.94305
3062,0.25362,-1.14784,21.40985
3113,0.11005,-0.73628,12.79330
3163,0.42589,-0.53288,3.73647
3213,0.70586,-0.49460,0.37933
3263,-0.62933,-0.74106,-0.59933
3313,-1.22516,-1.43498,9.55342
3362,-0.18906,-0.35582,14.31992
3412,-0.22017,-0.07108,17.87566
3462,-2.02675,0.67070,17.28224
3515,-0.87579,0.30939,11.78114
3562,-0.45944,0.21846,4.68881
3613,0.16269,0.81427,2.93008
3662,-1.60083,-0.31274,4.97835
3712,-2.06503,-0.36061,15.31055
3763,-1.52904,-0.19312,17.35402
3812,-1.02176,-0.22900,13.87007
3862,-0.58867,0.08925,7.23956
3913,-1.34001,0.93391,3.11194
3962,-0.93562,1.34308,4.80606
4012,-1.39265,1.64458,10.29041
4063,-1.15576,1.32155,10.02719
4113,-1.40701,1.19713,12.98712
4163,-1.77310,1.49144,10.83357
4213,-1.04330,1.06790,12.55641
4263,-0.40442,0.82863,8.37137
4313,-1.04330,-0.29839,11.71892
4363,0.12679,0.45056,7.91673
4413,0.02629,0.37160,6.85670
4463,-0.72026,0.40509,6.38293
4515,-1.18687,1.06073,5.68901
4562,-1.06723,0.69223,13.09958
4613,-0.19145,0.29503,21.76639
4662,0.88054,0.96024,10.71155
4713,0.50008,1.02005,4.54045
4762,-0.28957,2.40311,0.66647
4813,-0.88298,0.24956,1.98492
4862,-1.87122,0.25435,18.17715
4912,-1.65347,-1.11913,21.84296
4963,-1.73244,-0.37497,17.38991
5013,-2.18945,1.42204,4.03557
5063,-0.19385,0.61089,3.13586
5113,-1.08159,0.32613,1.57814
5163,-1.68936,0.15146,7.00027
5213,-0.51208,-0.53288,14.74585
5263,-1.03851,1.65176,14.40846
5313,-1.79942,2.02025,12.97993
5362,-1.83533,1.68765,14.06389
5412,-1.38307,1.96761,9.27824
5462,-0.76813,1.47948,4.32031
5514,-0.16273,1.18277,0.70955
5563,-0.14360,-2.24136,10.70436
5612,0.07654,-1.39430,24.29559
5663,-0.90930,0.57260,20.33548
5713,-0.16992,-0.14285,8.47665
5763,-0.48576,-0.05432,1.60207
5813,-0.51448,0.69463,0.84833
5863,-1.53383,1.54408,1.27425
5913,0.24883,0.52234,14.47545
5963,-0.65805,1.85036,15.18613
6013,-0.89015,1.42923,13.23119
6063,-1.67979,1.59912,10.23299
6113,-1.63672,0.31656,9.00307
