time,distance
13,5.00031
62,5.00031
112,5.00031
163,5.00031
213,5.00031
263,5.00031
313,5.00031
363,5.00031
412,5.00031
463,5.00031
516,5.00031
562,5.00031
613,5.00031
663,5.00031
713,5.00031
763,5.00031
813,5.00031
863,5.00031
913,5.00031
963,5.00031
1013,5.00031
1063,5.00031
1112,5.00031
1162,5.00031
1212,5.00031
1262,5.00031
1313,5.00031
1363,5.00031
1413,5.00031
1463,5.00031
1517,5.00031
1563,5.00031
1613,5.00031
1663,5.00031
1713,5.00031
1763,5.00031
1813,5.00031
1863,5.00031
1913,5.00031
1963,5.00031
2013,5.00031
2063,5.00031
2113,5.00031
2163,5.00031
2213,5.00031
2263,5.00031
2313,5.00031
2363,5.00031
2413,5.00031
2463,5.00031
2516,5.00031
2562,5.00031
2612,5.00031
2663,5.00031
2713,5.00031
2764,5.00031
2813,5.00031
2863,5.00031
2913,5.00031
2963,5.00031
3012,5.00031
3062,5.00031
3114,5.00031
3164,5.00031
3213,5.00031
3263,5.00031
3313,5.00031
3363,5.00031
3413,5.00031
3463,5.00031
3516,5.00031
3562,5.00031
3613,5.00031
3663,5.00031
3713,5.00031
3763,5.00031
3813,5.00031
3863,5.00031
3913,5.00031
3963,5.00031
4013,5.00031
4063,5.00031
4113,5.00031
4163,5.00031
4213,5.00031
4263,5.00031
4313,5.00031
4363,5.00031
4413,5.00031
4463,5.00031
4515,5.00031
4562,5.00031
4613,5.00031
4663,5.00031
4713,5.00031
4763,5.00031
4813,5.00031
4863,5.00031
4913,5.00031
4963,5.00031
5013,5.00031
5063,5.00031
5113,5.00031
5163,5.00031
5213,5.00031
5263,5.00031
5313,5.00031
5362,5.00031
5412,5.00031
5462,5.00031
5515,5.00031
5563,5.00031
5613,5.00031
5663,5.00031
5713,5.00031
5763,5.00031
5813,5.00031
5863,5.00031
5913,5.00031
5963,5.00031
6013,5.00031
6063,5.00031
6113,5.00031
