time,lx
13,9.00000
62,9.00000
112,9.00000
163,9.00000
213,9.00000
263,9.00000
313,9.00000
363,9.00000
412,9.00000
463,9.00000
516,9.00000
562,9.00000
613,9.00000
663,9.00000
713,9.00000
763,9.00000
813,9.00000
863,9.00000
913,9.00000
963,9.00000
1013,9.00000
1063,9.00000
1112,9.00000
1162,9.00000
1212,12.00000
1262,12.00000
1313,12.00000
1363,12.00000
1413,12.00000
1463,12.00000
1517,18.00000
1563,18.00000
1613,18.00000
1663,21.00000
1713,21.00000
1763,21.00000
1813,24.00000
1863,24.00000
1913,24.00000
1963,30.00000
2013,30.00000
2063,40.00000
2113,40.00000
2163,40.00000
2213,50.00000
2263,50.00000
2313,59.00000
2363,59.00000
2413,59.00000
2463,66.00000
2516,66.00000
2562,69.00000
2612,69.00000
2663,69.00000
2713,74.00000
2764,74.00000
2813,70.00000
2863,70.00000
2913,70.00000
2963,69.00000
3012,69.00000
3062,69.00000
3114,66.00000
3164,66.00000
3213,66.00000
3263,61.00000
3313,61.00000
3363,61.00000
3413,51.00000
3463,51.00000
3516,51.00000
3562,41.00000
3613,41.00000
3663,41.00000
3713,32.00000
3763,32.00000
3813,32.00000
3863,24.00000
3913,24.00000
3963,24.00000
4013,17.00000
4063,17.00000
4113,17.00000
4163,12.00000
4213,12.00000
4263,10.00000
4313,10.00000
4363,10.00000
4413,8.00000
4463,8.00000
4515,7.00000
4562,7.00000
4613,7.00000
4663,6.00000
4713,6.00000
4763,5.00000
4813,5.00000
4863,5.00000
4913,5.00000
4963,5.00000
5013,5.00000
5063,5.00000
5113,5.00000
5163,4.00000
5213,4.00000
5263,4.00000
5313,4.00000
5362,4.00000
5412,4.00000
5462,3.00000
5515,3.00000
5563,3.00000
5613,3.00000
5663,3.00000
5713,3.00000
5763,2.00000
5813,2.00000
5863,2.00000
5913,2.00000
5963,2.00000
6013,2.00000
6063,3.00000
6113,3.00000
