time,x,y,z
13,0.88531,1.81447,8.55322
62,0.07654,1.24019,9.82620
112,0.42351,1.66611,9.66348
162,0.96428,1.78575,9.52231
212,0.35890,1.69722,9.51514
263,0.08133,2.45815,9.82620
313,-0.09573,1.68047,10.23537
363,0.23207,1.77858,11.09918
413,0.43787,1.89343,9.47685
464,-0.86623,2.14946,9.67067
513,0.21533,0.86452,10.63019
563,0.34454,0.83580,8.90018
613,-1.55536,2.25954,7.77077
663,0.25122,1.18277,9.03896
717,-0.86862,0.94348,9.87885
762,-0.88538,1.65414,9.07007
812,-0.58388,1.77139,9.61324
862,-1.61279,1.86232,8.94325
913,-0.83034,1.90300,10.69719
962,-1.01936,1.48904,10.33348
1013,-1.01936,1.57280,12.02281
1063,-1.95496,1.61826,11.18532
1112,-0.40681,0.31416,12.02760
1162,0.06697,0.93391,10.26169
1213,-0.48576,1.45793,9.54385
1262,-0.26085,0.88367,9.46249
1312,0.10286,1.34308,9.46489
1363,0.04784,1.75226,7.21085
1412,-0.08617,2.07050,7.42859
1463,0.67714,2.18774,8.07944
1513,0.38283,2.05376,6.91653
1563,-1.06244,2.98456,5.81105
1612,0.52400,3.36502,3.96140
1663,-0.23213,2.17339,-0.87212
1715,2.31143,-0.12851,5.07884
1763,-0.92366,-1.71733,10.95801
1812,4.13716,-0.90857,5.16020
1862,-3.26624,-7.48643,26.93727
1913,4.11084,-3.39949,24.92012
1962,-3.60123,-3.70099,29.92352
2013,-1.18448,-0.51375,18.00247
2062,-1.34718,-0.76021,22.35741
2114,-0.71548,0.25914,15.22441
2163,1.06956,-2.39212,11.66867
2213,-1.97411,-0.11415,-1.25256
2263,-1.60800,0.46013,-2.11159
2313,0.00954,1.74269,-1.39853
2363,-1.17490,1.02245,2.72910
2412,0.30864,2.70221,3.21243
2463,-1.35675,1.96521,8.62979
2513,2.75650,2.67349,6.52171
2562,-0.69156,1.94128,11.11833
2613,0.49529,2.22365,9.68024
2663,-0.75854,2.09682,9.09399
2716,-0.40919,2.58974,9.80705
2763,0.64842,2.57300,9.24953
2812,-0.99783,2.50839,11.30496
2862,0.84943,1.53690,12.26210
2913,-0.51688,1.60629,10.23299
2963,-1.02176,-0.03758,10.87425
3013,-0.20821,-0.17157,11.14226
3062,-1.75157,0.59174,9.38353
3113,-1.87361,-0.32233,9.81424
3163,-0.72026,-0.17636,8.31633
3213,-1.36873,0.51996,9.38832
3262,-0.99783,0.70898,9.72092
3313,-1.54579,0.94348,8.40247
3362,-1.70850,1.06552,10.21863
3413,-1.03134,0.93152,10.30956
3463,-1.02895,0.96501,11.71175
3512,-1.04568,0.42184,11.47725
3563,-1.34718,-0.42043,12.06589
3613,-0.28238,-0.25293,9.82141
3663,-0.83990,-0.09021,9.91953
3712,-0.59344,0.74487,7.13667
3767,-1.70132,-0.15004,10.76180
