time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
717,99,4268,32.5,-9223372036854775808,492856,0
1715,99,4268,32.5,-9223372036854775808,492856,0
2717,99,4268,32.5,-9223372036854775808,384977,0
3767,99,4268,32.5,-9223372036854775808,384977,0
