time,distance
14,5.00031
63,5.00031
112,5.00031
162,5.00031
212,5.00031
263,5.00031
313,5.00031
363,5.00031
413,5.00031
464,5.00031
513,5.00031
563,5.00031
613,5.00031
663,5.00031
717,5.00031
763,5.00031
813,5.00031
862,5.00031
913,5.00031
963,5.00031
1013,5.00031
1063,5.00031
1113,5.00031
1162,5.00031
1214,5.00031
1263,5.00031
1313,5.00031
1363,5.00031
1413,5.00031
1463,5.00031
1513,5.00031
1564,5.00031
1613,5.00031
1663,5.00031
1715,5.00031
1763,5.00031
1813,5.00031
1862,5.00031
1913,5.00031
1963,5.00031
2014,5.00031
2062,5.00031
2114,5.00031
2163,5.00031
2213,5.00031
2263,5.00031
2313,5.00031
2364,5.00031
2413,5.00031
2463,5.00031
2513,5.00031
2563,5.00031
2613,5.00031
2663,5.00031
2716,5.00031
2763,5.00031
2813,5.00031
2862,5.00031
2914,5.00031
2963,5.00031
3014,5.00031
3062,5.00031
3113,5.00031
3163,5.00031
3213,5.00031
3262,5.00031
3314,5.00031
3362,5.00031
3413,5.00031
3464,5.00031
3513,5.00031
3563,5.00031
3613,5.00031
3664,5.00031
3713,5.00031
3767,5.00031
