time,x,y,z
13,15.05280,45.51544,-28.64532
62,14.75220,45.85571,-30.44586
112,14.15253,45.33539,-31.34613
162,14.45160,45.85571,-31.04553
212,13.25226,46.20667,-29.84619
263,13.55286,47.07642,-30.14526
313,12.35199,46.20667,-30.44586
363,12.95166,46.37604,-31.34613
413,12.35199,47.24579,-31.04553
464,12.95166,46.03577,-31.34613
513,12.95166,46.89636,-32.24640
563,12.95166,46.72546,-29.54559
613,13.25226,46.37604,-29.54559
663,13.85193,46.55609,-30.44586
717,13.85193,48.11554,-27.74658
763,13.25226,47.59674,-29.24652
812,11.75232,48.45581,-28.94592
862,12.65259,48.80676,-27.74658
913,11.75232,48.28644,-29.24652
962,12.65259,48.63586,-29.84619
1013,10.85205,50.36621,-28.64532
1063,11.45172,49.49646,-28.94592
1112,11.75232,49.84589,-31.34613
1162,11.75232,50.18616,-30.14526
1214,10.85205,49.66583,-31.04553
1263,11.75232,49.15619,-31.34613
1313,11.75232,48.63586,-31.64673
1363,11.15265,49.32556,-34.64661
1412,12.05292,48.80676,-33.74634
1463,11.15265,47.76611,-35.54535
1513,11.45172,48.63586,-34.64661
1563,12.65259,48.63586,-33.44574
1613,12.05292,47.59674,-35.24628
1663,12.05292,48.45581,-36.14655
1715,13.25226,49.49646,-33.14667
1763,10.85205,50.18616,-34.94568
1812,11.75232,50.88654,-32.54547
1862,8.15277,51.92566,-27.74658
1913,7.55310,52.78625,-26.84631
1963,6.05164,52.96631,-24.74670
2013,6.05164,53.65601,-25.34637
2062,6.35223,52.26593,-29.54559
2114,8.45184,51.05591,-32.84607
2163,7.55310,49.49646,-34.34601
2213,9.65271,47.24579,-40.04669
2263,11.15265,44.47632,-40.64636
2313,11.75232,44.64569,-42.14630
2363,11.75232,44.47632,-41.84570
2413,11.75232,44.47632,-41.24603
2463,12.05292,44.99664,-38.54523
2513,11.15265,46.72546,-38.54523
2563,9.95178,47.59674,-37.64648
2613,10.55298,47.07642,-36.74622
2663,9.95178,48.28644,-37.04529
2716,10.25238,49.15619,-36.74622
2763,10.55298,48.11554,-36.74622
2812,11.45172,47.24579,-35.24628
2862,12.95166,48.63586,-34.04541
2914,12.95166,48.11554,-34.94568
2963,13.85193,47.41669,-34.94568
3013,15.35187,47.41669,-33.14667
3062,17.15240,47.24579,-32.24640
3113,17.75208,47.07642,-32.54547
3163,17.15240,47.59674,-32.24640
3213,16.55273,48.45581,-31.94580
3262,17.15240,47.59674,-32.24640
3313,17.15240,47.76611,-33.14667
3362,16.85181,48.11554,-32.54547
3413,17.45300,48.28644,-32.24640
3463,16.85181,48.28644,-31.64673
3513,16.55273,48.11554,-33.74634
3563,16.25214,48.45581,-32.54547
3613,16.55273,48.80676,-33.14667
3663,17.75208,48.45581,-34.34601
3713,17.75208,47.07642,-34.34601
3767,18.35175,47.24579,-34.64661
