time,x,y,z
14,0.37695,-0.75357,-0.16711
62,0.19492,-0.10361,-0.19887
112,0.43805,-0.28442,-0.15367
162,0.15582,-0.13538,-0.17200
212,-0.10683,0.16270,-0.28807
263,-0.01154,0.14073,-0.18422
313,0.02388,0.09186,-0.10724
363,0.17171,-0.48235,-0.06816
413,0.32687,-0.00587,-0.04617
464,-0.13980,0.37041,0.19206
513,-0.11415,0.06377,0.22749
563,0.18027,-0.23921,-0.15611
613,-0.15202,-0.06818,0.11996
663,-0.78488,0.79558,0.15173
717,-0.16302,0.07719,-0.15489
763,0.03122,0.04909,-0.23309
813,-0.14714,0.11995,-0.15977
862,-0.20332,0.14806,-0.28439
913,-0.29375,0.07475,-0.06816
963,0.12407,-0.34917,-0.29051
1013,0.11552,0.07231,-0.04373
1063,0.18147,-0.28198,-0.08647
1113,0.09352,-0.19279,-0.11336
1162,0.32321,0.29466,-0.03151
1214,0.63109,-0.26854,-0.19887
1263,0.33298,0.15782,-0.11580
1313,0.39528,-0.12070,-0.07304
1363,0.47470,0.04665,0.05278
1413,0.19127,0.25557,0.00024
1463,0.11552,0.10040,0.11388
1513,0.18515,0.04544,-0.15611
1564,-0.01765,-0.04497,0.01369
1613,0.51379,0.11385,-0.00952
1663,-0.39392,0.77846,0.02713
1715,-0.49043,0.52802,-0.15001
1763,-2.04936,-1.46094,-0.37846
1812,-1.42261,-0.87695,0.12120
1862,-2.52095,-1.90076,-1.18604
1913,-1.94673,-0.65215,-0.66557
1963,0.21324,0.58055,-0.74377
2014,1.19551,1.50050,0.06010
2062,2.34029,0.19691,0.57446
2114,1.99454,1.88658,0.16518
2163,3.34576,0.41440,-0.36746
2213,2.32317,1.35146,-0.15489
2263,0.34520,1.37834,-0.35648
2313,0.84854,-0.08406,0.47794
2363,-0.49779,-0.39560,0.08821
2413,-1.10619,-0.63506,0.46329
2463,-0.76900,-0.68759,0.02101
2513,-1.51180,-0.75601,0.29347
2563,-0.62483,-0.44202,-0.15245
2613,-1.02924,-0.13292,-0.00708
2663,-0.15935,0.29832,0.08699
2716,-0.37560,-0.30885,0.07722
2763,-0.21312,-0.07550,0.23116
2812,-0.24365,0.13461,0.45840
2862,-0.47823,0.56833,0.25681
2914,0.57243,0.24701,0.07234
2963,-0.60406,0.05153,0.51826
3013,-0.82764,0.87375,0.63188
3062,0.03000,0.20180,0.34477
3113,-0.65170,-0.21233,0.28979
3163,0.22060,0.08208,0.01003
3213,-0.39148,-0.13170,-0.02541
3262,-0.00053,0.00635,0.03445
3313,0.07642,-0.18547,-0.02541
3362,-0.11903,-0.27220,0.01247
3413,-0.13614,-0.03885,-0.16833
3463,-0.06406,0.03688,-0.11458
3513,-0.06406,0.02467,0.08087
3563,0.20715,-0.38460,-0.05716
3613,0.17294,0.16760,0.28491
3664,0.59320,0.20547,0.27269
3713,0.70439,-0.06696,0.34721
3767,-0.35727,0.24336,0.55614
