time,lx
17,9.00000
67,9.00000
116,9.00000
167,9.00000
217,9.00000
267,9.00000
316,9.00000
367,9.00000
417,9.00000
467,9.00000
521,9.00000
567,9.00000
617,9.00000
667,9.00000
717,9.00000
767,9.00000
816,9.00000
866,9.00000
917,9.00000
967,9.00000
1016,9.00000
1066,9.00000
1117,9.00000
1167,9.00000
1217,9.00000
1266,9.00000
1317,9.00000
1367,9.00000
1417,9.00000
1467,9.00000
1519,9.00000
1567,9.00000
1617,9.00000
1667,9.00000
1716,9.00000
1767,9.00000
1817,9.00000
1866,10.00000
1916,10.00000
1967,10.00000
2017,11.00000
2067,11.00000
2116,13.00000
2167,13.00000
2217,13.00000
2267,14.00000
2316,14.00000
2366,14.00000
2417,14.00000
2467,14.00000
2521,15.00000
2567,15.00000
2617,15.00000
2667,17.00000
2716,17.00000
2766,17.00000
2817,19.00000
2867,19.00000
2916,19.00000
2966,23.00000
3017,23.00000
3067,23.00000
3116,28.00000
3167,28.00000
3217,28.00000
3267,34.00000
3316,34.00000
3366,34.00000
3417,40.00000
3467,40.00000
3520,40.00000
3567,47.00000
3617,47.00000
3667,47.00000
3716,55.00000
3767,55.00000
3818,64.00000
3866,64.00000
3917,64.00000
3967,70.00000
4017,70.00000
4066,76.00000
4117,76.00000
4167,76.00000
4217,81.00000
4266,81.00000
4316,83.00000
4367,83.00000
4417,83.00000
4466,82.00000
4521,82.00000
4567,79.00000
4616,79.00000
4667,79.00000
4717,74.00000
4766,74.00000
4817,74.00000
4867,66.00000
4916,66.00000
4966,66.00000
5017,58.00000
5067,58.00000
5116,58.00000
5166,49.00000
5217,49.00000
5267,49.00000
5316,40.00000
5367,40.00000
5417,40.00000
5467,32.00000
5516,32.00000
5571,32.00000
5616,24.00000
