time,x,y,z
17,-0.03596,-0.15735,0.01125
67,-0.08972,0.00267,0.02835
116,0.07886,0.17126,0.08087
167,0.26701,-0.02908,0.10164
217,0.17050,0.09674,0.16885
266,0.24013,0.06497,0.08821
316,0.10085,0.12607,0.16153
367,0.20715,-0.13048,0.10655
417,0.12895,0.15417,0.21405
467,0.05809,-0.07428,0.17130
521,0.00679,0.02467,0.06989
567,-0.04573,0.06009,-0.03275
617,-0.09338,0.04054,-0.09380
667,-0.16669,0.04544,-0.14757
717,-0.12025,0.00879,-0.28072
767,-0.05551,-0.05962,-0.38947
816,-0.01154,0.06497,-0.36992
866,-0.05673,-0.03029,-0.39191
917,0.08498,-0.11581,-0.27827
966,0.07764,0.07719,-0.03030
1016,0.08742,-0.15370,0.00514
1066,-0.11293,0.02956,-0.08647
1117,0.36353,0.35942,-0.13535
1167,0.36719,0.33009,-0.21231
1216,0.50403,0.18839,-0.25262
1266,0.25113,-0.04741,-0.27583
1317,0.00555,-0.07306,-0.26363
1367,-0.15324,0.00755,-0.09747
1417,-0.09705,-0.05962,-0.08159
1467,-0.28886,-0.26122,-0.06084
1519,-0.16669,-0.23677,-0.04984
1567,-0.35971,-0.16103,0.01491
1617,-0.06039,-0.01808,-0.18300
1666,-0.13980,0.02711,-0.29904
1716,-0.24854,-0.07062,-0.31737
1767,-0.10439,0.06009,-0.18666
1817,-0.00909,-0.20500,-0.10115
1866,-0.01277,-0.13048,-0.03639
1916,0.03732,-0.05473,0.12364
1967,-0.08972,0.11140,0.29956
2017,0.32443,0.01123,0.31668
2066,0.07642,-0.40048,0.28857
2116,-0.44278,-0.45422,0.28613
2167,0.06787,0.13339,0.38022
2217,0.49547,0.02956,0.10776
2267,0.02144,-0.00464,0.00270
2316,0.09108,-0.08894,-0.07549
2366,-0.00789,0.04544,-0.25386
2417,0.08253,0.01123,-0.33205
2467,-0.09827,0.01855,-0.21597
2521,-0.07994,0.06377,-0.17810
2567,-0.05795,0.00391,-0.20743
2617,-0.08482,-0.11826,-0.20865
2667,-0.00789,-0.14270,-0.18422
2716,-0.15814,-0.14026,-0.14757
2766,-0.05061,-0.03152,-0.10115
2817,0.11185,-0.00343,-0.06572
2867,-0.03717,0.17250,-0.02663
2916,-0.03108,-0.00343,0.09067
2966,0.19859,-0.04861,0.13220
3017,0.05565,-0.06696,0.17006
3067,-0.12759,0.00267,0.07722
3116,-0.07872,0.08942,0.12364
3167,-0.09216,0.00145,0.34721
3217,0.02144,0.08453,0.45717
3267,-0.03841,-0.07428,0.40831
3316,0.08008,-0.00099,0.36189
3366,0.29755,0.12973,0.69786
3417,0.10330,0.01611,0.85425
3467,0.49915,0.16515,0.76994
3520,0.28412,0.19815,0.57567
3567,-0.25098,0.07719,0.42296
3617,0.18027,-0.15126,0.51460
3667,0.29878,-0.24654,0.47061
3716,-0.10193,0.03076,0.39363
3767,0.01044,0.08698,0.35942
3818,0.09718,0.07109,0.23482
3866,-0.08606,-0.09505,0.08699
3917,-0.24977,-0.09016,-0.03030
3967,-0.25710,-0.09627,-0.03151
4017,-0.09338,-0.19279,-0.06940
4066,-0.13980,-0.14270,-0.17810
4117,-0.03841,-0.16347,-0.33817
4167,0.13994,-0.14270,-0.45787
4217,0.03732,-0.06696,-0.64725
4266,-0.04817,0.11385,-0.67780
4316,0.12161,0.35208,-0.49452
4367,0.22424,0.31055,-0.39313
4417,-0.03108,0.23236,-0.26974
4466,-0.09338,-0.09871,-0.16222
4521,-0.00665,-0.12804,0.02347
4567,-0.12148,0.12361,0.23116
4616,-0.03596,-0.03763,0.22505
4667,-0.11537,0.06621,0.16153
4717,-0.05795,0.05887,0.12488
4766,-0.23021,-0.26730,0.24582
4817,0.42828,-0.27464,0.16273
4867,0.05443,-0.10483,0.15541
4916,0.30733,0.36797,0.25314
4966,0.26457,0.19203,0.12976
5017,0.09718,0.24213,0.29468
5067,0.16562,0.02956,0.14809
5116,0.00311,0.07475,-0.07672
5166,-0.04573,0.18227,0.06255
5217,-0.04941,0.03810,0.00880
5267,-0.09583,-0.10483,-0.13535
5316,-0.43425,-0.33818,-0.17444
5367,-0.29131,-0.43834,-0.25874
5417,0.10208,-0.02785,-0.22453
5467,-0.07018,0.27634,-0.19398
5516,0.08864,0.31909,-0.30760
5571,-0.39516,-0.20256,-0.09747
5616,-0.36217,-0.08038,0.00146
